Bidau Lecidere	Nain Feto	Dili	498
Kampung Alor	Dom Aleixo	Dili	499
Motael	Vera Cruz	Dili	500
Bairro Pite	Dom Aleixo	Dili	501
Motael	Vera Cruz	Dili	502
Culu Hun	Cristo Rei	Dili	503
Colmera	Vera Cruz	Dili	504
Comoro	Dom Aleixo	Dili	505
Vaviquinia	Maubara	Liquica	506
Talimoro	Ermera	Ermera	507
Vatuvou	Maubara	Liquica	508
Motaulun	Bazartete	Liquica	510
Trilolo	Baucau	Baucau	511
Comoro	Dom Aleixo	Dili	513
Betano	Same	Manufahi	515
Caicoli	Vera Cruz	Dili	516
Mau-Ulo	Ainaro	Ainaro	517
Bairro Pite	Dom Aleixo	Dili	519
Comoro	Dom Aleixo	Dili	520
Kampung Alor	Dom Aleixo	Dili	521
Comoro	Dom Aleixo	Dili	522
Bemori	Nain Feto	Dili	523
Comoro	Dom Aleixo	Dili	524
Mau-Ulo	Ainaro	Ainaro	525
Buibau	Baucau	Baucau	526
Comoro	Dom Aleixo	Dili	528
Vila Verde	Vera Cruz	Dili	529
Maudemo	Tilomar	Covalima	530
Trilolo	Baucau	Baucau	531
Fuiloro	Lospalos	Lautem	532
Becora	Cristo Rei	Dili	533
Bairro Pite	Dom Aleixo	Dili	534
Caraubalo	Viqueque	Viqueque	535
Comoro	Dom Aleixo	Dili	536
Manapa	Cailaco	Bobonaro	537
Comoro	Dom Aleixo	Dili	538
Loidahar	Liquica	Liquica	539
Tapo/Memo	Maliana	Bobonaro	540
Fuiloro	Lospalos	Lautem	541
Caraubalo	Viqueque	Viqueque	542
Fatuhada	Dom Aleixo	Dili	543
Seloi Malere	Aileu Vila	Aileu	544
Manapa	Cailaco	Bobonaro	514
Caraubalo	Viqueque	Viqueque	512
Gricenfor	Nain Feto	Dili	518
Motael	Vera Cruz	Dili	545
Manapa	Cailaco	Bobonaro	546
Manapa	Cailaco	Bobonaro	547
Meligo	Cailaco	Bobonaro	548
Manapa	Cailaco	Bobonaro	549
Manapa	Cailaco	Bobonaro	550
Manapa	Cailaco	Bobonaro	551
Tutuala	Tutuala	Lautem	552
Meligo	Cailaco	Bobonaro	553
Com	Lautem	Lautem	554
Caicoli	Vera Cruz	Dili	555
Becora	Cristo Rei	Dili	556
Bobometo	Oesilo	Oecussi	557
Suai Loro	Suai	Covalima	558
Fuiloro	Lospalos	Lautem	559
Ailebere	Iliomar	Lautem	560
Uailaha	Venilale	Baucau	561
Vaviquinia	Maubara	Liquica	562
Fuiloro	Lospalos	Lautem	563
Malilait	Bobonaro	Bobonaro	564
Atara	Atsabe	Ermera	565
Bidau Lecidere	Nain Feto	Dili	566
Motael	Vera Cruz	Dili	567
Holsa	Maliana	Bobonaro	568
Mau-Ulo	Ainaro	Ainaro	569
Mau-Ulo	Ainaro	Ainaro	570
Leolima	Hatu-Udo	Ainaro	571
Leolima	Hatu-Udo	Ainaro	572
Becora	Cristo Rei	Dili	573
Hataz	Atabae	Bobonaro	574
Manapa	Cailaco	Bobonaro	575
Naimeco	Pante Macasar	Oecussi	576
Taiboco	Pante Macasar	Oecussi	577
Taiboco	Pante Macasar	Oecussi	578
Foho-Ai-Lico	Hatu-Udo	Ainaro	580
Betano	Same	Manufahi	581
Uma Berloic	Alas	Manufahi	582
Uma Berloic	Alas	Manufahi	583
Betano	Same	Manufahi	584
Letefoho	Same	Manufahi	585
Betano	Same	Manufahi	586
Fatumasi	Bazartete	Liquica	587
Fahisoi	Remexio	Aileu	588
Hautoho	Remexio	Aileu	589
Foho-Ai-Lico	Hatu-Udo	Ainaro	590
Maumeta	Remexio	Aileu	591
Becora	Cristo Rei	Dili	592
Becora	Cristo Rei	Dili	593
Maumeta	Remexio	Aileu	594
Meligo	Cailaco	Bobonaro	595
Costa	Pante Macasar	Oecussi	596
Trilolo	Baucau	Baucau	597
Fatuhada	Dom Aleixo	Dili	598
Bidau Lecidere	Nain Feto	Dili	599
Becora	Cristo Rei	Dili	600
Taiboco	Pante Macasar	Oecussi	601
Lahomea	Maliana	Bobonaro	602
Gricenfor	Nain Feto	Dili	603
Bairro Pite	Dom Aleixo	Dili	604
Motael	Vera Cruz	Dili	605
Trilolo	Baucau	Baucau	606
Letefoho	Same	Manufahi	607
Caicoli	Vera Cruz	Dili	608
Bairro Pite	Dom Aleixo	Dili	609
Motael	Vera Cruz	Dili	610
Motaulun	Bazartete	Liquica	611
Motael	Vera Cruz	Dili	612
Acadiru Hun	Nain Feto	Dili	613
Culu Hun	Cristo Rei	Dili	614
Vila Verde	Vera Cruz	Dili	615
Becora	Cristo Rei	Dili	616
Macarenhas	Vera Cruz	Dili	617
Macarenhas	Vera Cruz	Dili	618
Uma Quic	Viqueque	Viqueque	619
Costa	Pante Macasar	Oecussi	620
Costa	Pante Macasar	Oecussi	622
Costa	Pante Macasar	Oecussi	623
Soilesu	Bobonaro	Bobonaro	624
Aiteas	Manatuto	Manatuto	625
Debos	Suai	Covalima	626
Lahomea	Maliana	Bobonaro	627
Culu Hun	Cristo Rei	Dili	628
Letefoho	Same	Manufahi	629
Vila Verde	Vera Cruz	Dili	630
Comoro	Dom Aleixo	Dili	631
Acadiru Hun	Nain Feto	Dili	632
Letefoho	Same	Manufahi	633
Letefoho	Same	Manufahi	634
Caraubalo	Viqueque	Viqueque	635
Becora	Cristo Rei	Dili	636
Motael	Vera Cruz	Dili	637
Loidahar	Liquica	Liquica	638
Comoro	Dom Aleixo	Dili	639
Trilolo	Baucau	Baucau	640
Comoro	Dom Aleixo	Dili	641
Comoro	Dom Aleixo	Dili	642
Maubisse	Maubisse	Ainaro	643
Maubisse	Maubisse	Ainaro	644
Colmera	Vera Cruz	Dili	645
Fatuhada	Dom Aleixo	Dili	646
Maumeta	Bazartete	Liquica	647
Caicoli	Vera Cruz	Dili	648
Motael	Vera Cruz	Dili	649
